customerNumber,customerName,contactLastName,contactFirstName,city,postalCode,country,salesRepEmployeeNumber,creditLimit
344,CAF Imports,Fernandez,Jesus,Madrid,28023,Spain,1702,59600
347,"Men 'R' US Retailers, Ltd.",Chandler,Brian,Los Angeles,91003,USA,1166,57700
348,"Asian Treasures, Inc.",McKenna,Patricia ,Cork,91003,Ireland,1166,0
350,Marseille Mini Autos,Lebihan,Laurence ,Marseille,13008,France,1337,65000
353,Reims Collectables,Henriot,Paul ,Reims,51100,France,1337,81100
356,"SAR Distributors, Co",Kuger,Armand,Hatfield,28,South Africa,1337,0
357,GiftsForHim.com,MacKinlay,Wales,Auckland,28,New Zealand,1612,77700
361,Kommission Auto,Josephs,Karin,Münster,44087,Germany,1612,0
362,Gifts4AllAges.com,Yoshido,Juri,Boston,51003,USA,1216,41900
363,Online Diecast Creations Co.,Young,Dorothy,Nashua,62005,USA,1216,114200
369,"Lisboa Souveniers, Inc",Rodriguez,Lino ,Lisboa,1675,Portugal,1216,0
376,Precious Collectables,Urs,Braun,Bern,3012,Switzerland,1702,0
379,Collectables For Less Inc.,Nelson,Allen,Brickhaven,58339,USA,1188,70700
381,Royale Belge,Cartrain,Pascale ,Charleroi,B-6000,Belgium,1401,23500
382,Salzburg Collectables,Pipps,Georg ,Salzburg,5020,Austria,1401,71700
385,Cruz & Sons Co.,Cruz,Arnold,Makati City,1227 MM,Philippines,1621,81500
386,L'ordine Souveniers,Moroni,Maurizio ,Reggio Emilia,42100,Italy,1401,121400
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,Minato-ku,106-0032,Japan,1621,94400
406,Auto Canal+ Petit,Perrier,Dominique,Paris,75016,France,1337,95000
409,Stuttgart Collectable Exchange,Müller,Rita ,Stuttgart,70563,Germany,1337,0
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,Wellington,70563,New Zealand,1612,86800
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael,Munich,80686,Germany,1504,77000
424,Classic Legends Inc.,Hernandez,Maria,NYC,10022,USA,1286,67500
443,"Feuer Online Stores, Inc",Feuer,Alexander ,Leipzig,4179,Germany,1286,0
447,Gift Ideas Corp.,Lewis,Dan,Glendale,97561,USA,1323,49700
448,Scandinavian Gift Ideas,Larsson,Martha,Bräcke,S-844 67,Sweden,1504,116400
450,The Sharp Gifts Warehouse,Frick,Sue,San Jose,94217,USA,1165,77600
452,Mini Auto Werke,Mendel,Roland ,Graz,8010,Austria,1401,45300
455,Super Scale Inc.,Murphy,Leslie,New Haven,97823,USA,1286,95400
456,Microscale Inc.,Choi,Yu,NYC,10022,USA,1286,39800
458,"Corrida Auto Replicas, Ltd",Sommer,Martín ,Madrid,28023,Spain,1702,104600
459,Warburg Exchange,Ottlieb,Sven ,Aachen,52066,Germany,1702,0
462,FunGiftIdeas.com,Benitez,Violeta,New Bedford,50553,USA,1216,85800
465,"Anton Designs, Ltd.",Anton,Carmen,Madrid,28023,Spain,1216,0
471,"Australian Collectables, Ltd",Clenahan,Sean,Glen Waverly,3150,Australia,1611,60300
473,Frau da Collezione,Ricotti,Franco,Milan,3150,Italy,1401,34800
475,West Coast Collectables Co.,Thompson,Steve,Burbank,94019,USA,1166,55400
477,Mit Vergnügen & Co.,Moos,Hanna ,Mannheim,68306,Germany,1166,0
480,"Kremlin Collectables, Co.",Semenov,Alexander ,Saint Petersburg,196143,Russia,1166,0
481,"Raanan Stores, Inc","Altagar,G M",Raanan,Herzlia,47625,Israel,1166,0
484,"Iberia Gift Imports, Corp.",Roel,José Pedro ,Sevilla,41101,Spain,1702,65700
486,Motor Mint Distributors Inc.,Salazar,Rosa,Philadelphia,71270,USA,1323,72600
487,Signal Collectibles Ltd.,Taylor,Sue,Brisbane,94217,USA,1165,60300
489,"Double Decker Gift Stores, Ltd",Smith,Thomas ,London,WA1 1DP,UK,1501,43300
495,Diecast Collectables,Franco,Valarie,Boston,51003,USA,1188,85100
496,Kelly's Gift Shop,Snowden,Tony,Auckland  ,51003,New Zealand,1612,110000
